,Vocab,Syllables
266,ward,1.0
267,car,1.0
268,intertwining,4.0
269,fortune,2.0
270,bringing,2.0
271,blocked,1.0
272,vet's,
273,isolation,4.0
274,buildings,2.0
275,nose,1.0
276,and,1.0
277,clear,1.0
278,numbers,2.0
279,cancer,2.0
280,erasable,4.0
281,flavor,2.0
282,inhaling,3.0
283,street,1.0
284,boil,1.0
285,drought,1.0
286,K,1.0
287,valley,2.0
288,blinding,2.0
289,wishes,2.0
290,shiny,2.0
291,text,1.0
292,buttered,2.0
293,raccoons,2.0
294,pages,2.0
295,lined,1.0
296,day,1.0
297,chilly,2.0
298,wind,1.0
299,cabbages,3.0
300,flailing,2.0
301,souls,1.0
302,rainwater,3.0
303,truck's,
304,no,1.0
305,glace,1.0
306,tongues,1.0
307,oriental,4.0
308,time,1.0
309,lilacs,2.0
310,illness,2.0
311,glories,2.0
312,above,2.0
313,philosophy,4.0
314,tenderness,3.0
315,shits,1.0
316,step,1.0
317,viewed,1.0
318,space,1.0
319,homesick,2.0
320,childhood's,
321,arab,2.0
322,dogs,1.0
323,window,2.0
324,therapist,3.0
325,rush,1.0
326,wise,1.0
327,teddies,2.0
328,meteor,3.0
329,peaches,2.0
330,lawn,1.0
331,scented,2.0
332,squeezes,2.0
333,bee's,
334,stacked,1.0
335,missed,1.0
336,cricket,2.0
337,always,2.0
338,predawn,2.0
339,rings,1.0
340,concern,2.0
341,gale,1.0
342,beetles,2.0
343,bruised,1.0
344,screens,1.0
345,zip,1.0
346,squirrel,2.0
347,defying,3.0
348,droplet,2.0
349,attractive,3.0
350,gone,1.0
351,snowman,2.0
352,cruises,2.0
353,mail,1.0
354,purr,1.0
355,delayed,2.0
356,parents',
357,messiah,3.0
358,plays,1.0
359,combat,2.0
360,open,2.0
361,rear,1.0
362,wear,1.0
363,leads,1.0
364,lotion,2.0
365,wall,1.0
366,amidst,2.0
367,mist,1.0
368,buckshot,2.0
369,pigeon,2.0
370,Sendai,2.0
371,thuds,1.0
372,slant,1.0
373,violets,3.0
374,calligraphy,4.0
375,ringing,2.0
376,whatever,3.0
377,neck,1.0
378,proud,1.0
379,gate,1.0
380,hesitates,3.0
381,cherry,2.0
382,bottom,2.0
383,hours,1.0
384,telling,2.0
385,bayou,2.0
386,buoy,2.0
387,gas,1.0
388,nibbling,2.0
389,watchtower,3.0
390,corpse,1.0
391,hung,1.0
392,timber,2.0
393,urgent,2.0
394,web,1.0
395,puke,1.0
396,till,1.0
397,visitor,3.0
398,solstice,2.0
399,bush,1.0
400,surfer,2.0
401,mists,1.0
402,dirty,2.0
403,maples,2.0
404,undetected,4.0
405,discount,2.0
406,great,1.0
407,Verrazano,4.0
408,inside,2.0
409,orange,2.0
410,refugees,3.0
411,whistling,2.0
412,glory,2.0
413,coneflower,3.0
414,Some,1.0
415,disappears,3.0
416,september,3.0
417,delivery,4.0
418,Iraq,2.0
419,dormer,2.0
420,dates,1.0
421,US,1.0
422,house,1.0
423,tree's,1.0
424,vein,1.0
425,Those,1.0
426,breathe,1.0
427,stains,1.0
428,sultry,2.0
429,fluff,1.0
430,wings,1.0
431,pile,1.0
432,night,1.0
433,underside,3.0
434,Tonight,2.0
435,Science,2.0
436,via,2.0
437,Xmas,2.0
438,hammered,2.0
439,declaration,4.0
440,languages,3.0
441,hang,1.0
442,Wraps,1.0
443,peering,2.0
444,cedars,2.0
445,cemetery,4.0
446,cloud,1.0
447,oncology,4.0
448,shot,1.0
449,grebes,1.0
450,beautiful,3.0
451,braying,2.0
452,buzzard,2.0
453,slate,1.0
454,untrodden,3.0
455,war,1.0
456,nothing,2.0
457,clock,1.0
458,tanned,1.0
459,sadness,2.0
460,hanged,1.0
461,bank,1.0
462,reaching,2.0
463,Light,1.0
464,Tonights,2.0
465,pencils,2.0
466,placed,1.0
467,African,3.0
468,By,1.0
469,locomotive,4.0
470,invisible,4.0
471,dragonflies,3.0
472,roach,1.0
473,kisses,2.0
474,Tibetan,3.0
475,sandal,2.0
476,roof,1.0
477,brewed,1.0
478,record,2.0
479,bug,1.0
480,bikini,3.0
481,yells,1.0
482,effect,2.0
483,plasma,2.0
484,wrote,1.0
485,passengers,3.0
486,saints,1.0
487,sway,1.0
488,islands,2.0
489,steaming,2.0
490,breaks,1.0
491,seat,1.0
492,student,2.0
493,statues,2.0
494,little,2.0
495,bride,1.0
496,dementia,3.0
497,Fall,1.0
498,rasp,1.0
499,for,1.0
500,printed,2.0
501,laundromat,3.0
502,refinery,4.0
503,backwards,2.0
504,reluctant,3.0
505,southward,2.0
506,hearse,1.0
507,constellation,4.0
508,barring,2.0
509,canopy,3.0
510,entwine,2.0
511,paved,1.0
512,spans,1.0
513,palm,1.0
514,pole,1.0
515,cream,1.0
516,strands,1.0
517,levels,2.0
518,powdery,3.0
519,bloody,2.0
520,battery,3.0
521,seabirds,2.0
522,healing,2.0
523,bath,1.0
524,office,2.0
525,steaming,2.0
526,glades,1.0
527,value,2.0
528,blocks,1.0
529,everywhere,3.0
530,inch,1.0
531,feverish,3.0
532,sweatshirt,2.0
533,gum,1.0
534,cypresses,3.0
535,scribbles,2.0
536,speaker,2.0
537,left,1.0
538,dripdripdripdripdrip,
539,lakeside,2.0
540,drained,1.0
541,doors,1.0
542,lichened,2.0
543,memories,3.0
544,bark,1.0
545,rooster,2.0
546,biggest,2.0
547,Saturday,3.0
548,followed,2.0
549,hook,1.0
550,bell,1.0
551,train,1.0
552,applesauce,3.0
553,items,2.0
554,sailing,2.0
555,backwaters,3.0
556,coins,1.0
557,snowmelt,2.0
558,climb,1.0
559,orchestral,3.0
560,ginger,2.0
561,heard,1.0
562,many,2.0
563,frame,1.0
564,mad,1.0
565,metastasis,4.0
566,tea,1.0
567,unload,2.0
568,woman's,2.0
569,traveling,3.0
570,glass,1.0
571,hallway,2.0
572,group,1.0
573,slides,1.0
574,stench,1.0
575,darkened,2.0
576,owl's,1.0
577,Paradise,3.0
578,sorting,2.0
579,squeaky,2.0
580,raven's,
581,changes,2.0
582,ladies,2.0
583,sky,1.0
584,udder,2.0
585,crystal,2.0
586,du,1.0
587,laden,2.0
588,forget,2.0
589,reusing,3.0
590,porch,1.0
591,reflections,3.0
592,barrel,2.0
593,buttons,2.0
594,shredded,2.0
595,golden,2.0
596,floor,1.0
597,teabag,2.0
598,spite,1.0
599,robin,2.0
600,Cobra,2.0
601,Christmas,2.0
602,verandah,3.0
603,jalousies,3.0
604,giving,2.0
605,degree,2.0
606,warnings,2.0
607,plot,1.0
608,rustle,2.0
609,damage,2.0
610,core,1.0
611,real,2.0
612,serving,2.0
613,sweltering,3.0
614,sheet,1.0
615,seabreeze,
616,Manhattan,3.0
617,nine,1.0
618,ending,2.0
619,saffron,2.0
620,being,2.0
621,nostrils,2.0
622,kinds,1.0
623,instead,2.0
624,wider,2.0
625,lilies,2.0
626,folding,2.0
627,his,1.0
628,remain,2.0
629,ninth,1.0
630,sickle,2.0
631,pendulum,3.0
632,vomits,2.0
633,water,2.0
634,brushing,2.0
635,clover,2.0
636,branch,1.0
637,grandson,2.0
638,bread,1.0
639,nice,1.0
640,self,1.0
641,memorial,4.0
642,headstone,2.0
643,battering,3.0
644,X,1.0
645,beige,1.0
646,fourth,1.0
647,croaking,2.0
648,flirts,1.0
649,beats,1.0
650,robe,1.0
651,initials,3.0
652,stable,2.0
653,swear,1.0
654,shrilling,2.0
655,gramophone,3.0
656,fuzzy,2.0
657,creeping,2.0
658,stock,1.0
659,sculpting,2.0
660,centipede,3.0
661,nobody's,3.0
662,had,1.0
663,icy,2.0
664,tents,1.0
665,beer,1.0
666,escapes,2.0
667,lumber,2.0
668,cards,1.0
669,neat,1.0
670,Ryokan,2.0
671,shave,1.0
672,peaches,2.0
673,learning,2.0
674,budget,2.0
675,grocery,3.0
676,fuji,2.0
677,kayak,2.0
678,fallen,2.0
679,business,2.0
680,trimmed,1.0
681,croak,1.0
682,piercing,2.0
683,tucks,1.0
684,dripping,2.0
685,sight,1.0
686,trap,1.0
687,crowded,2.0
688,northerly,3.0
689,high,1.0
690,expecting,3.0
691,sees,1.0
692,quilts,1.0
693,chrysanthemum,4.0
694,lane,1.0
695,spiders,2.0
696,Day,1.0
697,cloudburst,2.0
698,Nagasaki,4.0
699,sock,1.0
700,could,1.0
701,watermelon,4.0
702,fag,1.0
703,poppies,2.0
704,kite's,1.0
705,ride,1.0
706,cradle,2.0
707,elegant,3.0
708,overnight,3.0
709,Rooster,2.0
710,firefly,2.0
711,peel,1.0
712,Forever,3.0
713,hope,1.0
714,windless,2.0
715,cat,1.0
716,cock,1.0
717,payment,2.0
718,about,2.0
719,fake,1.0
720,bubbles,2.0
721,knew,1.0
722,silently,3.0
723,line,1.0
724,cha,1.0
725,lip,1.0
726,slowly,2.0
727,Battersea,3.0
728,teenaged,2.0
729,Moss,1.0
730,Merlot,2.0
731,spaces,2.0
732,budding,2.0
733,viewing,2.0
734,thirteen,2.0
735,cordite,2.0
736,darkening,3.0
737,dragging,2.0
738,Mozart,2.0
739,decorations,4.0
740,Henry,2.0
741,ragged,2.0
742,hornets,2.0
743,blurs,1.0
744,daylight,2.0
745,guy,1.0
746,cucumbers,3.0
747,tide,1.0
748,cardinal's,3.0
749,tsunami,3.0
750,shiver,2.0
751,contained,2.0
752,finding,2.0
753,tablet,2.0
754,flurries,2.0
755,conversations,4.0
756,evasive,3.0
757,internet,3.0
758,walled,1.0
759,starling's,2.0
760,soldier,2.0
761,Hiring,2.0
762,plaque,1.0
763,cup,1.0
764,classmate,2.0
765,bridge,1.0
766,mum's,1.0
767,rumpled,2.0
768,cookie,2.0
769,bedraggled,3.0
770,passes,2.0
771,wildflower,3.0
772,windscreen,2.0
773,band,1.0
774,trash,1.0
775,statement,2.0
776,distant,2.0
777,colder,2.0
778,referendum,4.0
779,alert,2.0
780,fog,1.0
781,weaving,2.0
782,gears,1.0
783,quietly,3.0
784,house,1.0
785,sign,1.0
786,breeze,1.0
787,sundogs,2.0
788,tunnel,2.0
789,advance,2.0
790,includes,2.0
791,campfire,2.0
792,clothing,2.0
793,dam,1.0
794,coins,1.0
795,soundless,2.0
796,Solent,2.0
797,bull,1.0
798,pocket,2.0
799,damselflies,3.0
800,muddy,2.0
801,fast,1.0
802,hammering,3.0
803,stolen,2.0
804,The,1.0
805,homemade,2.0
806,matchbox,2.0
807,close,1.0
808,lover's,2.0
809,harvest,2.0
810,halal,2.0
811,boyhood,2.0
812,bathroom,2.0
813,door,1.0
814,Power,2.0
815,looks,1.0
816,taste,1.0
817,prays,1.0
818,idle,2.0
819,droplets,2.0
820,armoire,2.0
821,minds,1.0
822,places,2.0
823,Memories,3.0
824,collect,2.0
825,slices,2.0
826,cooking,2.0
827,Standing,2.0
828,afterglow,3.0
829,colors,2.0
830,log,1.0
831,catalogues,3.0
832,egg,1.0
833,damsons,2.0
834,exhausts,2.0
835,seniors,2.0
836,plum,1.0
837,girl,1.0
838,encounter,3.0
839,rearranging,4.0
840,trunks,1.0
841,unaware,3.0
842,are,1.0
843,brightness,2.0
844,unfold,2.0
845,afghan,2.0
846,thunderstorms,3.0
847,sheets,1.0
848,talons,2.0
849,clean,1.0
850,meal,1.0
851,butt,1.0
852,mist,1.0
853,present,2.0
854,without,2.0
855,growing,2.0
856,comfort,2.0
857,famished,2.0
858,cubes,1.0
859,seventh,2.0
860,even,2.0
861,breaths,1.0
862,snowplow,2.0
863,finish,2.0
864,ceased,1.0
865,Rainbows,2.0
866,stretches,2.0
867,crayoned,2.0
868,trots,1.0
869,Pangaea,3.0
870,uncarved,2.0
871,did,1.0
872,basin,2.0
873,homecoming,3.0
874,photograph,3.0
875,earth,1.0
876,confessional,4.0
877,sexy,2.0
878,her,1.0
879,belly,2.0
880,lovers,2.0
881,scars,1.0
882,Blue,1.0
883,GOD,1.0
884,extinguished,3.0
885,smoke,1.0
886,trees,1.0
887,Winter's,2.0
888,uneaten,3.0
889,day,1.0
890,lavender,3.0
891,clapping,2.0
892,boy's,1.0
893,gives,1.0
894,syringe,2.0
895,warming,2.0
896,firework's,
897,snoring,2.0
898,steppingstone,3.0
899,whispering,3.0
900,tune,1.0
901,such,1.0
902,working,2.0
903,hands,1.0
904,Baltimore,3.0
905,footpath,2.0
906,softened,2.0
907,share,1.0
908,across,2.0
909,maybe,2.0
910,portrait,2.0
911,globe,1.0
912,jumping,2.0
913,discarding,3.0
914,heliotrope,4.0
915,fogging,2.0
916,Soprano,3.0
917,do,1.0
918,your,1.0
919,pee,1.0
920,American,4.0
921,pair,1.0
922,Near,1.0
923,fireworks,2.0
924,thick,1.0
925,get,1.0
926,carcasses,3.0
927,throat,1.0
928,candle,2.0
929,Pray,1.0
930,Falling,2.0
931,marshmallows,3.0
932,pandemic,3.0
933,puffs,1.0
934,chemotherapy,5.0
935,constellations,4.0
936,leeks,1.0
937,season's,2.0
938,field,1.0
939,every,2.0
940,deep,1.0
941,liquidity,4.0
942,run,1.0
943,topped,1.0
944,carefully,3.0
945,junkyard,2.0
946,we've,1.0
947,alpine,2.0
948,streets,1.0
949,horizonless,4.0
950,stockings,2.0
951,boat's,1.0
952,ceremony,4.0
953,rain,1.0
954,roadside,2.0
955,masons,2.0
956,taco,2.0
957,salesman's,
958,splitting,2.0
959,states,1.0
960,daily,2.0
961,beside,2.0
962,pinned,1.0
963,mausoleum,4.0
964,bows,1.0
965,Walden,2.0
966,striptease,2.0
967,bird,1.0
968,campfires,2.0
969,creche,1.0
970,toes,1.0
971,Kenya,2.0
972,one,1.0
973,shades,1.0
974,northbound,2.0
975,longing,2.0
976,tangerine,3.0
977,fallen,2.0
978,sits,1.0
979,moist,1.0
980,calls,1.0
981,maimed,1.0
982,can,1.0
983,clarinet,3.0
984,robes,1.0
985,rearranges,4.0
986,energy,3.0
987,driftwood,2.0
988,Transport,2.0
989,crackling,2.0
990,song,1.0
991,grayer,2.0
992,we're,1.0
993,continue,3.0
994,mallet,2.0
995,crescents,2.0
996,told,1.0
997,surrounded,3.0
998,uncertain,3.0
999,dylan's,
1000,carpet,2.0
1001,out,1.0
1002,veteran's,3.0
1003,squeezing,2.0
1004,concedes,2.0
1005,captures,2.0
1006,begins,2.0
1007,reservation,4.0
1008,bay,1.0
1009,rim,1.0
1010,coal,1.0
1011,add,1.0
1012,undrunk,2.0
1013,thunders,2.0
1014,she'll,1.0
1015,canyon,2.0
1016,food,1.0
1017,fears,1.0
1018,buried,2.0
1019,tinged,1.0
1020,deepens,2.0
1021,thunder,2.0
1022,rhythms,1.0
1023,relief,2.0
1024,monthly,2.0
1025,urban,2.0
1026,fir,1.0
1027,cat,1.0
1028,knitting,2.0
1029,tattoos,2.0
1030,homes,1.0
1031,ads,1.0
1032,building,2.0
1033,sleep,1.0
1034,recycled,3.0
1035,Eve,1.0
1036,Oscars,2.0
1037,sedge,1.0
1038,sweaty,2.0
1039,hear,1.0
1040,cloud,1.0
1041,timers,2.0
1042,exile,2.0
1043,ozone,2.0
1044,sunscreen,2.0
1045,heavier,3.0
1046,queue,1.0
1047,stairwell,2.0
1048,knowing,2.0
1049,terminal,3.0
1050,more,1.0
1051,eyed,1.0
1052,Wet,1.0
1053,cloudless,2.0
1054,solstice,2.0
1055,cold,1.0
1056,midwinter,3.0
1057,steelworks,2.0
1058,killed,1.0
1059,autumn,2.0
1060,brushes,2.0
1061,discussion,3.0
1062,picket,2.0
1063,loon,1.0
1064,rainless,2.0
1065,wipers,2.0
1066,spreading,2.0
1067,sherman,2.0
1068,celsius,3.0
1069,wanes,1.0
1070,cockroach,2.0
1071,teaches,2.0
1072,illuminate,4.0
1073,axe,1.0
1074,Sherman,2.0
1075,crust,1.0
1076,toast,1.0
1077,granddaughter,3.0
1078,cracked,1.0
1079,stuck,1.0
1080,tandem,2.0
1081,redwoods,2.0
1082,bin's,1.0
1083,storm,1.0
1084,borsch,1.0
1085,Purple,2.0
1086,matter,2.0
1087,loon,1.0
1088,blotter,2.0
1089,blossom,2.0
1090,lukewarm,2.0
1091,winds,1.0
1092,chested,2.0
1093,voluptuous,4.0
1094,rivulets,3.0
1095,boyfriend,2.0
1096,barking,2.0
1097,dragon,2.0
1098,melon,2.0
1099,politicians,4.0
1100,geezers,2.0
1101,bonfire,2.0
1102,on,1.0
1103,rosebush,2.0
1104,ones,1.0
1105,patch,1.0
1106,clap,1.0
1107,regular,3.0
1108,lilacs,2.0
1109,berated,3.0
1110,zone,1.0
1111,cenotaph,3.0
1112,ripple,2.0
1113,portfolio,4.0
1114,everything,3.0
1115,soaking,2.0
1116,paragraph,3.0
1117,better,2.0
1118,papaya,3.0
1119,accumulation,5.0
1120,strangers,2.0
1121,voyageurs,3.0
1122,Koi,1.0
1123,grass,1.0
1124,moonlit,2.0
1125,syrup,2.0
1126,earful,2.0
1127,guys,1.0
1128,drying,2.0
1129,haunting,2.0
1130,dog's,1.0
1131,birthday,2.0
1132,sale,1.0
1133,trying,2.0
1134,november,3.0
1135,bus,1.0
1136,crime,1.0
1137,burned,1.0
1138,roofer,2.0
1139,bound,1.0
1140,King,1.0
1141,silent,2.0
1142,travels,2.0
1143,evening,2.0
1144,platform,2.0
1145,sheepdog,2.0
1146,ports,1.0
1147,sitar,2.0
1148,were,1.0
1149,march,1.0
1150,stamped,1.0
1151,direct,2.0
1152,morn,1.0
1153,hollow,2.0
1154,pollster,2.0
1155,leaping,2.0
1156,thought,1.0
1157,curtain,2.0
1158,produce,2.0
1159,cold,1.0
1160,cracks,1.0
1161,turned,1.0
1162,Valentine's,3.0
1163,frigid,2.0
1164,partly,2.0
1165,storms,1.0
1166,attentive,3.0
1167,piled,1.0
1168,bookshelves,2.0
1169,remind,2.0
1170,grandpa,2.0
1171,order,2.0
1172,seaweed,2.0
1173,thin,1.0
1174,changing,2.0
1175,overcast,3.0
1176,place,1.0
1177,riding,2.0
1178,naked,2.0
1179,couch,1.0
1180,plow,1.0
1181,definition,4.0
1182,NASDAQ,2.0
1183,embracing,3.0
1184,ageing,2.0
1185,fluffing,2.0
1186,sego,2.0
1187,cap,1.0
1188,prick,1.0
1189,inserts,2.0
1190,skein,1.0
1191,conversation,4.0
1192,absent,2.0
1193,patient,2.0
1194,glorious,3.0
1195,honeysuckle,4.0
1196,puppies,2.0
1197,typos,2.0
1198,honeymoon,3.0
1199,Amish,2.0
1200,weight,1.0
1201,elsewhere,2.0
1202,Dawn,1.0
1203,barbershops,3.0
1204,painted,2.0
1205,vendor,2.0
1206,motorway,3.0
1207,check,1.0
1208,tiled,1.0
1209,carbuncles,3.0
1210,alighting,3.0
1211,died,1.0
1212,thump,1.0
1213,laid,1.0
1214,charcoal,2.0
1215,mourning,2.0
1216,dances,2.0
1217,Aleppo,3.0
1218,wrist,1.0
1219,healings,
1220,pierced,1.0
1221,nest,1.0
1222,meditating,4.0
1223,rumble,2.0
1224,sweater,2.0
1225,bottled,2.0
1226,egrets,2.0
1227,running,2.0
1228,dusky,2.0
1229,bobbing,2.0
1230,drawing,2.0
1231,For,1.0
1232,magician's,4.0
1233,Day,1.0
1234,magnolia,3.0
1235,Post,1.0
1236,law's,1.0
1237,Charles,1.0
1238,Internet,3.0
1239,Beware,2.0
1240,cyclist,2.0
1241,twines,1.0
1242,dismantling,3.0
1243,melancholy,4.0
1244,dampness,2.0
1245,From,1.0
1246,Horror,2.0
1247,quarters,2.0
1248,rhythmic,2.0
1249,entangled,3.0
1250,lulled,1.0
1251,haze,1.0
1252,crab,1.0
1253,burial,3.0
1254,receives,2.0
1255,surprise,2.0
1256,fits,1.0
1257,whirl,1.0
1258,bombing,2.0
1259,city,2.0
1260,sunflowers,3.0
1261,wildflowers,3.0
1262,rehashing,3.0
1263,doghouse,2.0
1264,buttock,2.0
1265,mangroves,2.0
1266,palette,2.0
1267,tulip,2.0
1268,heel,1.0
1269,leaps,1.0
1270,gets,1.0
1271,Lobsters,2.0
1272,ferry,2.0
1273,quarantined,3.0
1274,recording,3.0
1275,Of,1.0
1276,sweep,1.0
1277,birdsong,2.0
1278,candle's,
1279,terns,1.0
1280,reaches,2.0
1281,history,3.0
1282,blinds,1.0
1283,ricochets,3.0
1284,negative,3.0
1285,sadness,2.0
1286,slicing,2.0
1287,mayo,2.0
1288,dachau,2.0
1289,mount,1.0
1290,shade,1.0
1291,pens,1.0
1292,leafless,2.0
1293,beneath,2.0
1294,treetops,2.0
1295,cold,1.0
1296,torture,2.0
1297,lecturer,3.0
1298,mist,1.0
1299,pheasant,2.0
1300,fisherman's,3.0
1301,celtic,2.0
1302,edge,1.0
1303,sediment,3.0
1304,calendar,3.0
1305,littering,3.0
1306,unjust,2.0
1307,plumb,1.0
1308,hedgerow,2.0
1309,horn,1.0
1310,empty,2.0
1311,drunken,2.0
1312,barbed,1.0
1313,fencing,2.0
1314,compound,2.0
1315,birdbath,2.0
1316,echoes,2.0
1317,grease,1.0
1318,chirps,1.0
1319,tighter,2.0
1320,dewberry,3.0
1321,glitter,2.0
1322,dusk,1.0
1323,pauper's,
1324,chickens,2.0
1325,tank,1.0
1326,feed,1.0
1327,rage,1.0
1328,iron,2.0
1329,pranayama,4.0
1330,pianist,3.0
1331,Indian,3.0
1332,icicle,3.0
1333,buzzing,2.0
1334,spliff,1.0
1335,bits,1.0
1336,drifts,1.0
1337,porn,1.0
1338,hills,1.0
1339,brewery,3.0
1340,zoo,1.0
1341,unnamed,2.0
1342,smooth,1.0
1343,pillow,2.0
1344,moving,2.0
1345,greet,1.0
1346,cider,2.0
1347,prickly,2.0
1348,rainbows,2.0
1349,obscures,2.0
1350,drift,1.0
1351,kite,1.0
1352,draws,1.0
1353,man,1.0
1354,practices,3.0
1355,pepper,2.0
1356,meant,1.0
1357,walls,1.0
1358,tears,1.0
1359,right,1.0
1360,warriors,3.0
1361,as,1.0
1362,windchimes,
1363,plane's,1.0
1364,world,1.0
1365,twilight,2.0
1366,later,2.0
1367,seesaw,2.0
1368,sound,1.0
1369,only,2.0
1370,rattle,2.0
1371,what,1.0
1372,makeup,2.0
1373,mizzle,2.0
1374,you,1.0
1375,Harvest,2.0
1376,west,1.0
1377,telephone,3.0
1378,moor,1.0
1379,noisily,3.0
1380,tail,1.0
1381,pockets,2.0
1382,deepens,2.0
1383,together,3.0
1384,signal,2.0
1385,uncelebrated,5.0
1386,mailman,2.0
1387,tribute,2.0
1388,museum,3.0
1389,hotel,2.0
1390,crows,1.0
1391,dentist,2.0
1392,glean,1.0
1393,lost,1.0
1394,quickly,2.0
1395,migration,3.0
1396,masks,1.0
1397,fortieth,3.0
1398,ask,1.0
1399,bachelorette,4.0
1400,save,1.0
1401,grandparents',
1402,taps,1.0
1403,over,2.0
1404,mantra,2.0
1405,horoscope,3.0
1406,hedgehog,2.0
